"IndicatorCode","IndicatorName","VariableName","MeasurementName","CountryCode","Alpha3Code","CountryName","PeriodCode","Value",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","008","ALB","Albania","2005","23.0",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","008","ALB","Albania","2006","25.2",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","008","ALB","Albania","2007","28.2",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","008","ALB","Albania","2008","25.3",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","008","ALB","Albania","2009","25.2",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","008","ALB","Albania","2010","28.0",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","008","ALB","Albania","2011","29.2",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","008","ALB","Albania","2012","28.9",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","008","ALB","Albania","2013","28.9",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","008","ALB","Albania","2014","28.2",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","008","ALB","Albania","2015","27.3",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","008","ALB","Albania","2016","29.0",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","008","ALB","Albania","2017","31.6",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","008","ALB","Albania","2018","31.6",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","008","ALB","Albania","2019","30.9",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","008","ALB","Albania","2020","22.5",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","008","ALB","Albania","2021","31.1",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","008","ALB","Albania","2022","37.2",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","008","ALB","Albania","2023","38.7",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","008","ALB","Albania","2024","..",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","020","AND","Andorra","2005","..",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","020","AND","Andorra","2006","4.8",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","020","AND","Andorra","2007","3.8",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","020","AND","Andorra","2008","3.4",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","020","AND","Andorra","2009","2.7",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","020","AND","Andorra","2010","2.7",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","020","AND","Andorra","2011","3.1",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","020","AND","Andorra","2012","3.3",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","020","AND","Andorra","2013","3.1",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","020","AND","Andorra","2014","3.0",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","020","AND","Andorra","2015","3.2",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","020","AND","Andorra","2016","3.5",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","020","AND","Andorra","2017","4.0",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","020","AND","Andorra","2018","4.1",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","020","AND","Andorra","2019","73.9",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","020","AND","Andorra","2020","63.5",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","020","AND","Andorra","2021","72.3",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","020","AND","Andorra","2022","11.4",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","020","AND","Andorra","2023","..",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","020","AND","Andorra","2024","..",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","051","ARM","Armenia","2005","28.8",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","051","ARM","Armenia","2006","23.4",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","051","ARM","Armenia","2007","19.2",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","051","ARM","Armenia","2008","15.0",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","051","ARM","Armenia","2009","15.5",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","051","ARM","Armenia","2010","20.8",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","051","ARM","Armenia","2011","23.8",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","051","ARM","Armenia","2012","27.6",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","051","ARM","Armenia","2013","28.4",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","051","ARM","Armenia","2014","28.6",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","051","ARM","Armenia","2015","29.7",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","051","ARM","Armenia","2016","33.7",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","051","ARM","Armenia","2017","38.2",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","051","ARM","Armenia","2018","39.4",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","051","ARM","Armenia","2019","41.4",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","051","ARM","Armenia","2020","29.8",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","051","ARM","Armenia","2021","35.9",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","051","ARM","Armenia","2022","50.2",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","051","ARM","Armenia","2023","59.5",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","051","ARM","Armenia","2024","..",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","040","AUT","Austria","2005","49.0",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","040","AUT","Austria","2006","51.2",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","040","AUT","Austria","2007","52.9",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","040","AUT","Austria","2008","53.6",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","040","AUT","Austria","2009","45.5",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","040","AUT","Austria","2010","51.6",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","040","AUT","Austria","2011","54.3",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","040","AUT","Austria","2012","54.3",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","040","AUT","Austria","2013","53.9",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","040","AUT","Austria","2014","53.9",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","040","AUT","Austria","2015","53.4",
"4","Share of exports in GDP, %","Share of exports in GDP","Percent","040","AUT","Austria","2016","52.7",
